,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
109,Ruslan Savchenko (UKR),76.9,157.5,180.0,337.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
110,Oscar Chaplin (USA),76.84,155.0,180.0,335.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
111,Ayhan Çiçek (TUR),76.88,145.0,180.0,325.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
112,Damian Brown (AUS),76.8,145.0,175.0,320.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
113,Carlos Saurí (PUR),76.92,140.0,165.0,305.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
114,Joseph Bellon (SLE),76.48,95.0,105.0,200.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
115,Mohammad Hossein Barkhah (IRI),76.16,-1,-1,-1,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
116,Adrián Popa (HUN),76.54,-1,-1,-1,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_77_kg,Weightlifting at the 2000 Summer Olympics – Men's 77 kg,2000,Men
117,Chen Xiaomin (CHN),62.82,112.5,130.0,242.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
118,Valentina Popova (RUS),62.08,107.5,127.5,235.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
119,Ioanna Chatziioannou (GRE),61.82,97.5,125.0,222.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
120,Saipin Detsaeng (THA),62.38,102.5,120.0,222.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
121,Kim Yong-ok (PRK),59.06,90.0,115.0,205.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
122,Amanda Phillips (AUS),62.96,82.5,107.5,190.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
123,Josefa Pérez (ESP),62.36,85.0,102.5,187.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
124,Nora Köppel (ARG),62.12,80.0,102.5,182.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
125,Kesaia Tawai (FIJ),62.96,75.0,90.0,165.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_63_kg,Weightlifting at the 2000 Summer Olympics – Women's 63 kg,2000,Women
126,Pyrros Dimas (GRE),84.06,175.0,215.0,390.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
127,Marc Huster (GER),84.22,177.5,212.5,390.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
128,Giorgi Asanidze (GEO),84.7,180.0,210.0,390.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
129,Krzysztof Siemion (POL),84.46,167.5,212.5,380.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
130,Gagik Khachatryan (ARM),84.68,175.0,205.0,380.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
131,Sergo Chakhoyan (AUS),82.4,175.0,202.5,377.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
132,Christos Spyrou (GRE),83.2,170.0,205.0,375.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
133,Ernesto Quiroga (CUB),84.8,165.0,210.0,375.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
134,Mariusz Rytkowski (POL),84.64,170.0,200.0,370.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
135,Valeriu Calancea (ROM),84.74,160.0,205.0,365.0,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
136,Joel Mackenzie (CUB),84.86,165.0,200.0,365.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
137,Nizami Pashayev (AZE),84.16,155.0,202.5,357.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
138,Yury Myshkovets (RUS),84.82,162.5,192.5,355.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
139,Bakhtiyor Nurullaev (UZB),84.42,160.0,192.5,352.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
140,Mohamed Mousa (EGY),84.62,160.0,192.5,352.5,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
141,Mital Sharipov (KGZ),84.54,155.0,190.0,345.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
142,Sergio Mannironi (ITA),83.18,150.0,180.0,330.0,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
143,Ofisa Ofisa (SAM),84.8,135.0,175.0,310.0,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
144,Khodor Alaywan (LIB),81.56,130.0,160.0,290.0,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
145,Shahin Nassirinia (IRI),85.0,-1,-1,-1,20,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_85_kg,Weightlifting at the 2000 Summer Olympics – Men's 85 kg,2000,Men
146,Lin Weining (CHN),66.74,110.0,132.5,242.5,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
147,Erzsébet Márkus (HUN),68.52,112.5,130.0,242.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
148,Karnam Malleswari (IND),67.9,110.0,130.0,240.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
149,Milena Trendafilova (BUL),67.76,100.0,132.5,232.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
150,Daniela Kerkelova (BUL),68.12,100.0,132.5,232.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
151,Irina Kasimova (RUS),68.56,100.0,130.0,230.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
152,Pawina Thongsuk (THA),67.22,100.0,125.0,225.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
153,Beata Prei (POL),67.5,100.0,125.0,225.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
154,Michelle Kettner (AUS),67.8,100.0,122.5,222.5,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
155,Aphinya Pharksupho (THA),68.28,102.5,120.0,222.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
156,Maria Tatsi (GRE),67.42,92.5,127.5,220.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
157,Eva Dimas (ESA),68.4,92.5,110.0,202.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
158,Ruth Rivera (PUR),67.28,82.5,105.0,187.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
159,Valerie Pedro (PLW),68.04,70.0,90.0,160.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
160,Nagwan El-Zawawi (EGY),68.2,92.5,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_69_kg,Weightlifting at the 2000 Summer Olympics – Women's 69 kg,2000,Women
161,Akakios Kakiasvilis (GRE),92.06,185.0,220.0,405.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
162,Szymon Kołecki (POL),93.58,182.5,222.5,405.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
163,Aleksey Petrov (RUS),93.3,180.0,222.5,402.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
164,Kourosh Bagheri (IRI),93.42,187.5,215.0,402.5,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
165,Vadim Vacarciuc (MDA),92.66,177.5,220.0,397.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
166,Zoltán Kovács (HUN),94.0,180.0,217.5,397.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
167,Bünyamin Sudaş (TUR),93.36,177.5,215.0,392.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
168,Julio Luna (VEN),93.48,177.5,215.0,392.5,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
169,Michel Batista (CUB),93.18,175.0,210.0,385.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
170,Aleksander Karapetyan (AUS),94.0,175.0,207.5,382.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
171,Andriy Demchuk (UKR),93.2,170.0,207.5,377.5,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
172,Slavik Nyu (KAZ),92.46,175.0,200.0,375.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
173,Andrey Makarov (KAZ),92.82,177.5,197.5,375.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
174,Kiril Kounev (AUS),93.32,170.0,205.0,375.0,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
175,Bakhyt Akhmetov (KGZ),93.04,175.0,192.5,367.5,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
176,Pavel Bazuk (BLR),90.34,167.5,197.5,365.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
177,Lars Betker (GER),93.1,165.0,200.5,365.0,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
178,Sergejs Lazovskis (LAT),93.22,155.0,200.0,355.0,18,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
179,Darío Lecman (ARG),92.64,135.0,170.0,305.0,19,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_94_kg,Weightlifting at the 2000 Summer Olympics – Men's 94 kg,2000,Men
180,María Isabel Urrutia (COL),73.28,110.0,135.0,245.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
181,Ruth Ogbeifo (NGR),74.2,105.0,140.0,245.0,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
182,Kuo Yi-hang (TPE),74.52,107.5,137.5,245.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
183,Kim Soon-hee (KOR),73.84,105.0,135.0,240.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
184,Gyöngyi Likerecz (HUN),74.16,105.0,122.5,227.5,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
185,Svetlana Khabirova (RUS),74.38,102.5,125.0,227.5,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
186,Cara Heads (USA),72.64,102.5,120.0,222.5,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
187,Wanda Rijo (DOM),73.74,95.0,120.0,215.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
188,Mónica Carrió (ESP),74.18,95.0,110.0,205.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
189,Karoliina Lundahl (FIN),74.36,-1,-1,-1,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
190,Tatyana Khromova (KAZ),74.68,110.0,-1,-1,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Women%27s_75_kg,Weightlifting at the 2000 Summer Olympics – Women's 75 kg,2000,Women
191,Hossein Tavakkoli (IRI),104.7,190.0,235.0,425.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
192,Alan Tsagaev (BUL),104.48,187.5,235.0,422.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
193,Said Saif Asaad (QAT),104.12,190.0,230.0,420.0,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
194,Ihor Razoronov (UKR),104.52,192.5,227.5,420.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
195,Evgeny Chigishev (RUS),104.38,190.0,225.0,415.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
196,Alexandru Bratan (MDA),104.16,190.0,220.0,410.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
197,Florin Vlad (ROM),102.72,180.0,225.0,405.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
198,Grzegorz Kleszcz (POL),104.68,185.0,220.0,405.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
199,Mariusz Jędra (POL),104.52,175.0,215.0,390.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
200,Boris Burov (ECU),103.42,182.5,205.0,387.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
201,Ramūnas Vyšniauskas (LTU),104.16,175.0,210.0,385.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
202,Moreno Boer (ITA),104.92,165.0,200.0,365.0,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
203,Tevita Kofe Ngalu (TGA),103.96,127.5,167.5,295.0,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
204,Anatoly Khrapaty (KAZ),103.06,-1,-1,-1,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
205,Abdulaziz Alpak (TUR),103.14,175.0,-1,-1,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
206,Denys Hotfrid (UKR),103.88,190.0,-1,-1,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_105_kg,Weightlifting at the 2000 Summer Olympics – Men's 105 kg,2000,Men
